"GSM279601_MIX_A.CEL" "GSM279602_MIX_A.CEL" "GSM279603_MIX_A.CEL" "GSM279604_MIX_B.CEL" "GSM279605_MIX_B.CEL" "GSM279606_MIX_B.CEL" "GSM279607_MIX_C.CEL" "GSM279608_MIX_C.CEL" "GSM279609_MIX_C.CEL" "GSM279610_MIX_D.CEL" "GSM279611_MIX_D.CEL" "GSM279612_MIX_D.CEL"
"RDH10" 5.29641827245225 5.42054785764112 5.28973543428729 5.37530428545462 5.51252006243277 5.386703511787 5.34441617602383 5.49245270691395 5.38363371221664 5.60180456854011 5.37101624756314 4.99108289003037
"SRSF12" 4.04005369629174 4.07761706723993 3.99269280477805 4.057493553214 4.13834539304149 4.17167883237696 4.20098799604094 4.11386979028063 4.06898150783117 3.88665030252709 4.00929649299721 4.10638325549287
"GAPT" 8.05859524979227 7.97517468405298 7.6376354545197 7.23932593950509 6.96319069520897 7.14449523292091 7.73655484070321 7.62997728389688 7.74728554325707 7.75417232395494 7.98773475627076 7.94147328255593
"CLEC12A" 5.02189729626381 5.36183714738275 5.14237117857729 5.26642810823849 5.34336389996974 5.22748010151858 5.18430097314248 5.23558920194517 5.09139057643778 5.24798684262035 5.29687936061865 5.21614908658352
"WDR17" 3.48663831718379 3.6373636833895 3.4623261515888 3.91218838589156 3.4609912896398 3.50677513464166 3.60579128282296 3.5835673248257 3.6803566725826 3.53248520017455 3.57577028341767 3.56842692101332
"MEGF11" 3.68429719718266 3.53080319539127 3.61720517294944 3.43805869148041 3.68947026006494 3.56224480535847 3.51858273397097 3.52307572018662 3.44201882275357 4.02944968644974 3.45811133708696 3.43653713250724
"ADAMTSL1" 3.80622547260526 3.74863805324413 3.99409323231226 3.83769885831897 3.85780118361057 3.61651869632604 3.81107695023642 3.90706368145395 3.79163190243159 3.46437141674539 3.7394009841407 3.84010766966705
"PTPRC" 3.18188102925146 3.30589528202212 3.37885937119886 3.27015338454619 3.22009618587339 3.23947458526583 3.21884253061597 3.26195012008019 3.01429932128383 3.27621394689305 3.16609459625197 3.1870353331972
"LACTB" 5.86991064972984 5.83532260843098 5.78730452893038 5.73716050041735 5.56319901561302 5.93495503459761 5.78773319021733 5.69194028779066 5.67770844242571 5.76631012076811 5.84571795707065 5.77924754028846
"SLAMF6" 8.51175926783616 8.39987560790361 8.51767047921335 9.43361101857562 9.46528251135092 9.2613170834212 9.13615721909473 9.12489539980679 9.25042681628187 9.18618623400383 9.01146957405302 9.14549621533617
"ATP6V1C2" 4.08545851720661 4.01872737176022 4.06359114776049 4.06614896284161 4.04320569464385 4.21921495504679 4.09853915513747 4.11333200299791 3.97639338737525 4.0929216324851 4.06726064497148 4.05350898344106
"TAGAP" 6.8632311677026 7.00635169112123 6.87163110343172 7.47241837129668 7.19242878067036 7.28354221085198 7.00979557530378 7.10200104631486 6.79751773190839 7.01773640292746 7.22569208933326 7.05253609456579
"NLRC4" 4.1252347457499 4.00101713249879 4.01610543312222 4.01750006035373 3.79973370187241 3.98857986751947 3.95042880363139 4.01750006035373 4.14134254014697 3.98285662776135 4.14768991569796 3.97418809000848
"PRSS36" 6.82050492931026 6.84533726825471 6.94838041272089 6.70920595904926 6.591174150703 6.81964060835212 6.89786863356018 6.92786847841806 6.88311744474886 6.80355510713295 6.99792321787118 6.88166568255427
"IL12RB1" 6.49864643711191 6.46288052479326 6.69660116269431 7.00245037023631 6.61736848103893 6.77024257813411 7.22989590386528 7.23616474272795 7.14553361885629 6.93276661754849 7.08445905749246 7.08063870944658
"HSH2D" 6.69943058063655 6.6575383494144 6.62577960177741 7.81392005490395 7.71633454879089 7.7022811190128 7.03712774833132 7.02634468475128 6.8044759136291 7.16173347721945 7.37593005811947 6.98523210249309
"MAP3K6" 5.54090855136348 5.59322749902091 5.592019212206 5.58315155315193 5.40817612971179 5.6367366370782 5.71859350837334 5.58774244807689 5.46429450721671 5.5702288085522 5.69306746424082 5.3699911458403
"KLHDC7B" 5.81194334643991 5.8913640019862 6.07158167829349 5.83255894131822 6.1812495134454 5.96275767794112 5.91791571681995 5.61554062876528 5.90412118159548 5.78528534286755 5.94108022906307 5.82782491450596
"TNFRSF10A" 7.04499075365644 7.30259062321256 7.0691771920343 7.74033084758886 7.57893431210608 7.32571495756715 6.99881661477881 7.12535519820113 7.11479948237831 7.14690959209287 7.42098492911093 7.11771843189692
"UHMK1" 7.98071088513455 7.9459646634488 7.85417952709578 7.59650675186195 7.68055946050037 7.66816045787144 7.66298486338271 7.61951470243126 7.74489541183873 7.61296766015565 7.62354252704533 7.61526005542638
"PPP1R3B" 5.37121492428989 5.42163710953238 5.57953923347409 5.28560877402191 5.68066255089721 5.53769986903525 5.59775746891065 5.32834622189543 5.87203957679438 5.57292211431784 5.39751847584496 5.44827237160976
"CACNA2D4" 6.42547595214096 6.40036056351463 6.37832745312992 6.32096111977902 6.44382909536274 6.31782870995482 6.42903879489269 6.58908720689448 6.57959694919098 6.84708435627695 6.57414130972006 6.53506056321959
"ARL11" 7.79315628117528 7.71906136875161 7.47401369885791 7.90269437774237 7.16855768164335 7.70127774927442 7.32657783236106 7.18868563229711 6.99921325282838 7.25632711424744 7.82662150863566 7.18711215640429
"CARD16" 7.62205081289193 7.64705809144008 7.91516943374698 7.29254991377345 8.18436496225543 7.57620658177964 8.41646783881172 7.89613034486774 8.19404056628053 7.96125946295412 7.82286205007676 8.01529416278804
"RICTOR" 4.02675420566584 4.18716528300022 3.80075861355634 4.19534258830254 4.05521804421391 4.19499255895777 4.01569799713229 3.95287849810873 4.08078258553323 3.8958842310092 3.75165611390644 4.01725337000421
"NETO1" 5.24703459341456 5.35215144630999 5.40986045670864 4.6570201022829 5.11564536232953 4.97444160512766 4.71853463453401 4.56818538738429 5.08720900838951 4.54619608452116 4.4779058194536 4.64282828435963
"KCNH8" 3.92601212132882 4.05356228341902 4.08483525812678 3.83532351734864 4.34284676628627 4.02100168563988 4.03375145199807 3.92926259545704 4.21974379186896 4.08502175347749 3.94373216230949 4.27805652389083
"MCF2L" 5.224517450964 5.3703497962912 5.43615922635188 5.34376006760152 5.49650510957785 5.49181197588404 5.35656606407491 5.35597626174559 5.63655741309622 5.4358209583823 5.51276102028785 5.40489095695457
"CADM2" 4.55567073517866 4.30527356524453 4.5106104338244 4.38567260021016 4.77875044798235 4.332026934989 4.46915801053457 4.42512333424895 4.24484435124712 4.2019090031825 4.54896481566112 4.426129182106
"TLR4" 5.64244726034735 5.51499884802793 5.63348910606484 5.43797276266036 5.36344823128141 5.61817820279971 5.83445579379087 5.59925529034386 5.97683732627255 5.66306594790183 5.87196174115297 5.84499255004944
"STMN1" 4.09325105874305 4.03485022770063 4.10331457690706 4.39706872216957 4.04917474379668 4.37411438054421 3.94728639559557 4.07395435412554 4.26339804093121 4.04049446063572 4.12990317755966 4.02942772124705
"SIGLEC10" 5.90351390716549 5.69040073821282 5.74938254795836 6.2645364096617 6.10660317168479 6.0053262995148 5.85667711404506 5.93940503536926 5.66520189569597 5.3999238904397 5.97425633638503 5.68823674934363
"ICK" 3.02923059680891 2.9613567771051 2.99125094341406 2.87087151091426 3.17203572734987 3.00106976055323 3.04549155102991 2.97121319207346 3.02174177288569 3.01248938878033 2.99914041294617 3.49436380005597
"RAB42" 6.27638329059376 6.34844634420811 6.51509002956874 6.45104902327349 6.44085990931071 6.52246606305791 6.39281668683674 6.36700420340051 6.60764091683251 6.5432997474114 6.40345787072329 6.6884588310469
"M1AP" 3.35330078462149 3.44355196955447 3.53644132895837 3.34882981424029 3.49574225538313 3.48708692409715 3.47486577590257 3.41147670198649 3.47072162559269 3.65279490202792 3.25250943145212 3.27573686709491
"TNFRSF13C" 7.35936537068743 7.33056288022195 7.26278609983637 7.66435551969799 7.35859599108515 7.52905565812005 7.47506215460163 7.44923973949047 7.55982492738343 7.08242504528413 7.51144218359274 7.50594380220091
"CAMK2N2" 6.89823160707136 6.84851958094236 7.00287669960857 6.93468973128576 6.89447626826782 6.93953796675227 7.01946757897578 6.99502045622935 7.08937077362752 6.93301399960195 7.19305247570802 7.10003294077908
"SIGLEC11" 5.80047953806175 5.72645467828129 6.01470466676524 5.65507670219622 5.74856805299985 5.77472675574968 5.70989717844048 5.76863685697109 5.83925252056613 5.85645772741555 5.95037686351994 6.00236448075446
"CD276" 6.37772069648118 6.06714745811899 6.09365364728255 6.08225424887386 5.76261767881149 5.72751034074219 6.2411504217129 6.07743123239075 6.17951662636039 6.00485848624293 6.41603198012721 6.0511877357941
"ANGPT1" 3.22000236794267 3.08422323503043 3.2458441924072 3.2523259443873 3.09985683998243 3.14513015729624 3.10643807234867 3.21725107705883 3.21288968148533 3.28564683049516 3.1397982941285 3.21574741020042
"LRRC15" 5.2095442055399 5.37791634104666 5.36414185657043 5.46831811416997 5.42941713128137 5.57337130960276 5.37353172254507 5.47514967050137 5.40348155214649 5.47158359798819 5.52079627816036 5.32984776476693
"CNPY3" 8.98836215886307 8.8595224722219 8.69069918814181 8.61458926298475 8.37319719115282 8.45710660583167 8.80711073284931 8.8619091139976 8.71730195438408 8.65311704893284 9.11678523199004 8.55173129692047
"CNTNAP5" 6.41704614370906 6.29661095803036 6.44167478359061 6.18027383806729 6.50448908146028 6.34866055167137 6.46750574861317 6.29524351377101 6.5939281296811 6.59285015163875 6.25901621889333 6.26931727423761
"SYTL5" 4.55327752960545 4.50972956400931 4.45158552699717 4.45461223540621 4.49711373521079 4.69268062980402 4.79183248012027 4.68416482802307 4.9121967775731 4.89611772764117 4.61819996798137 4.68524804547608
"CD300LF" 7.61226022011048 7.71493190881282 7.55344522637327 7.06139346654368 7.16235663326091 7.10528135260966 7.58366730103516 7.47904377948041 7.66906210645442 7.57345868872887 7.78683016890207 7.65370505843372
