"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"CAMK2N2" 6.77493903473789 7.08624424709933 6.93008811377094 6.73917024364062 6.97707865513077
"SIGLEC11" 5.36127312726803 5.60325534373046 5.48005671483169 6.075000872383 5.75518835825111
"CD276" 5.19815998734546 5.54718409348551 5.56797975835366 6.73520381116711 6.21033352403665
"ANGPT1" 3.09881389359247 3.18391351327918 3.24039799434103 3.2146907708934 3.216446024714
"LRRC15" 5.42058028547981 5.47742997124371 5.45189631966257 5.4307212438342 5.38850663734578
"CNPY3" 7.20095447840577 8.5310464123321 7.78251356429669 9.54283092169603 8.7622063436167
"CNTNAP5" 6.62513604808644 6.3249905825642 6.23221961286779 6.46557122864835 6.44227594616111
"SYTL5" 4.60376088399303 4.70930960091695 4.61169756019855 4.59599505673319 4.67255500486286
"CD300LF" 6.08326650475245 5.86030818573419 5.48005671483169 8.51235643012367 7.59796376057282
"SLFN5" 4.16589373495851 5.19667731526069 3.85135000367133 3.65822928979448 4.1836036422279
"CCDC69" 4.31084003177732 8.47577332451441 9.9371633011974 6.59112654789871 8.159004694094
"NKD1" 6.62268047706973 6.94192151630048 6.81320468258747 6.68580200439108 6.76295752615765
"SVEP1" 3.23686858608814 3.27804482579008 3.01044258935355 3.2593687464981 3.28127405836826
"LACC1" 5.15931764876204 4.78445484785654 5.9262719870439 5.24513083269717 5.23333503760346
"AMMECR1" 6.37413040891502 6.84185979201744 6.6196346202501 6.9259678026775 6.53898744141808
"FAM117B" 6.50654632641016 5.43554764065973 6.57703649309919 6.08284447953286 6.22217411889284
"LUZP1" 4.86981692390054 4.15224035520487 4.00475656790426 4.539538238644 4.38335148330954
"GAL3ST3" 5.20063994177537 4.89339527374854 4.86838110192324 4.97255714320527 5.04216833537107
"RHBDL3" 6.08918694141568 6.18996943369075 5.93012891371702 6.11933432514198 6.11563973574004
"ABCA13" 3.28070249110885 3.25793178690216 3.27474471777865 3.34987765071522 3.21028972549072
"CSF3R" 6.81310022765416 7.18529842926125 6.98548592392935 9.59698288001709 8.67029978422218
"CASP8" 4.64323622956351 4.62803721801766 4.75569224429714 4.80163628470864 4.71039615504148
"PLB1" 4.71787590088828 4.98564663981659 5.13523995546934 4.87365881457839 4.88499609408757
"GPR82" 4.13867022042152 4.32510992317633 4.18089283683122 4.2291217358883 4.29575761122156
"PCDH15" 3.54346164979082 3.54431581878004 3.30519721572264 3.46158010242482 3.46017394353853
"HFE" 4.72794701032171 4.73470111181469 5.00530000874156 4.90015280896937 4.90928632471286
